KICID,window,dur1,dur2,ecosw,esinw,ecc,$a_1$,$t_1$,$\sigma_1$,$a_2$,$t_2$,$\sigma_2$,$P_{orb}$
KIC 1026032,51,0.2680726349069973,0.26896757628696255,-0.04160510571485472,0.0016664327201415712,0.041638465624407865,0.07813887529235058,2.2616456448253066,0.04337418814306446,0.029144606499574316,-1.744530851880007,0.04351898977790905,8.460535172408374
KIC 1161345,11,0.10971693096889945,0.2064532964706578,-0.6066650309800319,0.3059629184099937,0.6794525496721339,0.0005603387015197651,-1.2117720096487576,0.01775221408919886,0.0002614183052599652,-0.6595897612757653,0.0334041709515813,4.852854284677238
KIC 1575690,11,0.11002014868631127,0.10266053452490209,-0.00036490588626659283,-0.034604055480207147,0.03460597942528265,0.03049414445558896,0.7958166183373778,0.01780127475638666,0.019465519788998634,-0.32987361539235777,0.016610488201809503,2.252426973422042
KIC 2019076,101,0.19121348157133777,0.3824431459524811,0.5758563303395157,0.33335213994926455,0.6653827187422645,0.08203891886237169,1.3074993023051231,0.03093836686479747,3.803049253730943e-05,-1.7815940318312702,0.061879352110383506,3.5646063867655204
KIC 2162994,11,0.3232908503714462,0.3361189861279228,-7.77570511840279e-06,0.019453964812805653,0.019453966366771342,0.37757663749109116,1.1201306055818139,0.052308502782491134,0.3301334888084647,-0.9306235172641295,0.0543840968617571,4.1015488524005494
KIC 2167890,11,0.15602199872872496,0.15649961065739149,-4.289016891725165e-06,0.0015282524930198492,0.0015282585115376527,0.012332611722804511,0.46869870055212537,0.02524438023920074,0.012488444901459388,-2.1795537545360837,0.025321657913069083,5.296533834261222
KIC 2305543,91,0.22621566693229667,0.47661549197216224,0.08089903639662473,0.3562730847479462,0.36534253106601167,0.06964089444817749,-0.03534444397508668,0.03660172513257198,0.004082311365718112,0.34024481238151555,0.07711645027800701,0.6810298179525687
KIC 2306740,101,0.6020329813611658,0.34314310301969986,-0.024286839960655022,-0.2739065054857483,0.27498113452142264,0.3525446688262658,1.9135246214801291,0.09740901681720895,0.31774698455190153,-3.080555788680703,0.055520599913284625,10.306880113905505
KIC 2307199,11,2.155782814056794,6.3147317552747495e-06,-0.4622004131888871,-0.9999941416053447,1.1016430933823296,2.372220755697872e-06,1.1290446571040182,0.34880594733186465,0.0006243558436573191,-1.7479564769100275,1.021724441643467e-06,13.98271742478951
KIC 2309587,11,0.1772576930674461,0.17576236239513499,0.2616998258802823,-0.0042358235719822295,0.2617341037524591,0.11100174110504399,2.42745099508128,0.02868031842034276,0.11046322386881707,-1.2492592780943732,0.02843837371778329,5.515589802418701
KIC 2437060,41,0.19417187858329032,0.2974524161203951,-0.7461926888941482,0.21008021501328472,0.775201409763364,0.04694506490273685,0.3261639909949098,0.03141703589657993,0.08842562676305488,0.40570887718040094,0.04812784066859763,3.187024685161516
KIC 2438061,41,0.22756496793872638,0.2121305000169127,0.00032702782670809496,-0.0351026313588728,0.03510415467599756,0.00840170900509081,-1.9311244939831778,0.03682004221568201,0.0044878537961771485,0.5128213413750208,0.034322743243852594,4.885857274202053
KIC 2438490,41,0.23902652563682225,0.20541078418054903,0.00032403578608411525,-0.07563663246473736,0.07563732656431231,0.07008893629559157,-0.09095111838360834,0.03867452378252401,0.0035460540701037057,1.5675763030581338,0.03323549232375969,3.3156868727858915
KIC 2441161,51,0.17249041174255275,0.17152817945574128,0.0014636830632153775,-0.00279703571676045,0.0031568618769875242,0.08851572925437712,1.341702036761733,0.02790897166505539,0.05656495530359411,-0.8544088448501497,0.027753282352492914,4.384051560749679
KIC 2445134,31,0.31310288267713293,0.30078030235823117,-0.6648678853562597,-0.020073168021684698,0.665170832983927,0.05227301736474964,-1.2859320006344954,0.05066008824841566,0.05045895308796997,-0.6146324865290167,0.048666293106492654,8.748630037804622
KIC 2445975,11,0.18631431629485828,0.5392327185179613,-0.011551259198497388,0.4864169864799333,0.48655412476444027,0.011117264261555505,0.0806762754898479,0.030145681268523475,1.193580962154468e-09,-1.588852013293832,0.08724792589892084,3.3888988755679623
KIC 2447893,51,0.11034300349661605,0.12030298332942846,0.001346250305694321,0.04318297478258034,0.04320395469119177,0.15072174280905604,-0.05978592277406863,0.01785351270782811,0.10735601161101327,0.2715781076925435,0.019465038775453067,0.6615940231960841
KIC 2449090,51,0.24512165556408938,0.22106975698680342,0.00014858417835472628,-0.05159232437525892,0.05159253833356131,0.07118617593694129,-1.3832253349582118,0.03966071661907902,0.02211702473348505,1.0892724627209944,0.03576911621588595,4.944060261961932
KIC 2452440,51,0.3580840799934455,0.3555075551456106,5.9302198911887926e-05,-0.0036106432880663284,0.0036111302530446353,0.01829775407679598,0.7940013976726576,0.05793805198378507,0.017447351568115485,-7.304033423495385,0.05752116991917579,16.194846835773554
KIC 2557430,31,0.1559841768704866,0.15244863545482157,0.0012468470307392208,-0.011462922472516,0.011530534208308633,0.0419066890245524,-0.37669648447223547,0.025238260657484697,0.0320455708480265,0.2731554206865974,0.024666209584073732,1.297643755508632
KIC 2558370,11,0.0016767584699455829,0.1791188845959264,-0.38826786825897514,0.9814513398496592,1.0554613541077948,0.034120018772135344,-0.21360217642971496,0.00027129974445593366,0.004334708484397999,0.20176902746421854,0.028981459458310287,1.642945827402719
KIC 2569494,11,0.2314559306095651,0.24440288727557136,-0.3613901686954173,0.027207558585436203,0.36241289336043514,5.5948669499980425e-09,-0.00866100586307264,0.037449600495665133,0.02115389681145889,-0.4198591591563567,0.03954441981396774,1.5233404955768433
KIC 2711114,21,0.13898790475162096,0.13351853175657658,0.0005499874758018272,-0.02007061948747711,0.020078153621153384,0.0032643791095977514,-0.19605078586925304,0.022488261557911705,0.002202145121946157,1.2344096828971909,0.021603316276592885,2.858918934368743
KIC 2852560,31,0.24446587094822858,0.39056503667963083,-0.5622396011361755,0.23006622823627865,0.6074897846553744,0.11678004977203879,0.4010717659862292,0.03955461058061843,0.06796895688631995,0.9675325992954026,0.06319347511513937,3.9872751787738254
